,Crystal System,Point Group,Full Name,Bravais Lattice
0,Triclinic,1,P1,P-Triclinic
1,Triclinic,2,P1,P-Triclinic
2,Monoclinic,3,P2,P-Monoclinic
3,Monoclinic,4,P21,P-Monoclinic
4,Monoclinic,5,C2,C-Monoclinic
5,Monoclinic,6,Pm,P-Monoclinic
6,Monoclinic,7,Pc,P-Monoclinic
7,Monoclinic,8,Cm,C-Monoclinic
8,Monoclinic,9,Cc,C-Monoclinic
9,Monoclinic,10,P2/m,P-Monoclinic
10,Monoclinic,11,P21/m,P-Monoclinic
11,Monoclinic,12,C2/m,C-Monoclinic
12,Monoclinic,13,P2/c,P-Monoclinic
13,Monoclinic,14,P21/c,P-Monoclinic
14,Monoclinic,15,C2/c,C-Monoclinic
15,Orthorhombic,16,P222,P-Orthorhombic
16,Orthorhombic,17,P2221,P-Orthorhombic
17,Orthorhombic,18,P21212,P-Orthorhombic
18,Orthorhombic,19,P212121,P-Orthorhombic
19,Orthorhombic,20,C2221,C-Orthorhombic
20,Orthorhombic,21,C222,C-Orthorhombic
21,Orthorhombic,22,F222,F-Orthorhombic
22,Orthorhombic,23,I222,I-Orthorhombic
23,Orthorhombic,24,I212121,I-Orthorhombic
24,Orthorhombic,25,Pmm2,P-Orthorhombic
25,Orthorhombic,26,Pmc21,P-Orthorhombic
26,Orthorhombic,27,Pcc2,P-Orthorhombic
27,Orthorhombic,28,Pma2,P-Orthorhombic
28,Orthorhombic,29,Pca21,P-Orthorhombic
29,Orthorhombic,30,Pnc2,P-Orthorhombic
30,Orthorhombic,31,Pmn21,P-Orthorhombic
31,Orthorhombic,32,Pba2,P-Orthorhombic
32,Orthorhombic,33,Pna21,P-Orthorhombic
33,Orthorhombic,34,Pnn2,P-Orthorhombic
34,Orthorhombic,35,Cmm2,C-Orthorhombic
35,Orthorhombic,36,Cmc21,C-Orthorhombic
36,Orthorhombic,37,Ccc2,C-Orthorhombic
37,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic
38,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic
39,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic
40,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic,C-Orthorhombic
41,Orthorhombic,42,Fmm2,F-Orthorhombic
42,Orthorhombic,43,Fdd2,F-Orthorhombic
